#{"t_start": 1763362893.3432245, "env_id": "None"}
r,l,t
-5.0,2,0.886194
-5.0,2,0.896157
-5.0,1,0.902356
-5.0,1,0.907994
-5.0,1,0.91172
-5.0,1,0.91918
-5.0,2,0.928465
-7.02,1,0.932902
-5.0,1,0.939569
-5.0,2,0.950768
-5.0,1,0.956077
-5.0,1,0.960437
-5.0,2,0.974138
-5.0,1,0.981963
-5.0,1,0.985466
-5.0,1,0.992727
-5.0,1,0.999758
-5.0,1,1.003037
-5.0,1,1.009007
-5.0,1,1.012206
-5.0,1,1.019193
-5.0,1,1.024603
-5.0,1,1.028585
-5.0,1,1.034325
-5.0,1,1.042669
-5.0,1,1.048559
-5.0,1,1.054953
-5.0,1,1.06133
-7.02,2,1.070625
-5.0,2,1.080582
-5.0,1,1.08635
-5.0,1,1.091731
-5.0,1,1.096755
-5.0,1,1.104693
-5.0,2,1.114531
-7.02,1,1.11922
-5.0,1,1.12589
-5.0,1,1.131065
-5.0,1,1.137759
-5.0,2,1.149678
-5.0,1,1.154756
-5.0,1,1.160732
-5.0,1,1.165723
-5.0,1,1.170798
-5.0,1,1.175927
-5.0,1,1.181601
-5.0,1,1.18609
-5.0,1,1.190639
-5.0,1,1.197087
-5.0,1,1.20246
-5.0,1,1.20792
-5.0,1,1.213555
-5.0,1,1.217035
-5.0,2,1.228985
-5.0,1,1.234428
-5.0,2,1.246644
-5.0,1,1.252139
-5.0,1,1.25868
-5.0,1,1.263211
-5.0,1,1.268771
-5.0,3,1.287042
-5.0,1,1.293124
-5.0,1,1.298364
-5.0,1,1.304089
-5.0,1,1.309665
-5.0,1,1.315395
-5.0,1,1.321598
-5.0,1,1.326814
-5.0,1,1.333781
-5.0,1,1.342233
-5.0,1,1.347315
-5.0,2,1.358675
-5.0,1,1.363215
-5.0,1,1.370047
-5.0,1,1.37338
-5.0,1,1.380349
-5.0,2,1.390315
-5.0,1,1.394519
-5.0,1,1.400822
-5.0,1,1.407288
-5.0,1,1.411065
-5.0,1,1.417605
-5.0,1,1.422156
-5.0,1,1.427634
-5.0,1,1.434588
-5.0,1,1.440993
-5.0,4,1.464478
-5.0,1,1.470552
-5.0,1,1.474803
-5.0,3,1.492035
-5.0,1,1.497763
-5.0,1,1.503184
-5.0,3,1.519495
-5.0,2,1.529884
-5.0,1,1.534867
-5.0,1,1.541484
-5.0,1,1.548135
-5.0,1,1.552442
-5.0,1,1.559195
-5.0,1,1.564015
-7.02,1,1.567993
-5.0,1,1.572662
-5.0,1,1.579016
-5.0,1,1.58584
-5.0,3,1.605891
-5.0,1,1.609443
-7.02,2,1.619767
-5.0,1,1.626626
-5.0,1,1.631332
-5.0,1,1.635919
-5.0,1,1.642426
-5.0,1,1.646899
-5.0,1,1.653857
-5.0,2,1.666363
-5.0,1,1.670276
-5.0,1,1.675168
-5.0,1,1.680565
-5.0,1,1.68584
-5.0,1,1.693538
-5.0,1,1.698107
-5.0,2,1.709019
-5.0,1,1.71777
-5.0,2,1.727249
-5.0,1,1.731432
-5.0,1,1.739595
-5.0,1,1.744695
-5.0,1,1.748235
-5.0,2,1.760006
-5.0,1,1.764991
-5.0,1,1.771205
-5.0,1,1.776772
-5.0,1,1.783148
-5.0,1,1.788849
-5.0,1,1.791902
-5.0,1,1.798829
-5.0,2,1.811116
-5.0,1,1.815784
-5.0,1,1.821312
-5.0,1,1.826798
-5.0,1,1.831387
-5.0,1,1.835781
-5.0,1,1.843164
-5.0,1,1.849107
-5.0,1,1.853812
-5.0,2,1.866677
-2.02,1,1.87289
-5.0,1,1.877858
-5.0,1,1.884293
-5.0,2,1.894706
-5.0,1,1.903368
-5.0,1,1.908885
-5.0,1,1.913842
-5.0,1,1.92077
-5.0,1,1.925063
-5.0,1,1.932035
-5.0,1,1.936437
-5.0,1,1.941875
-5.0,1,1.946363
-5.0,1,1.950876
-5.0,1,1.958683
-5.0,1,1.962407
-5.0,1,1.968076
-5.0,1,1.973446
-5.0,3,1.992596
-5.0,1,1.99643
-5.0,1,2.004939
-5.0,1,2.00873
-5.0,2,2.023331
