#{"t_start": 1763362893.3220696, "env_id": "None"}
r,l,t
-5.0,1,0.901153
-5.0,1,0.907522
-5.0,1,0.912735
-5.0,1,0.917607
-5.0,1,0.922927
-5.0,1,0.929344
-5.0,1,0.933984
-5.0,1,0.93968
-5.0,3,0.954057
-5.0,1,0.960949
-5.0,2,0.970411
-5.0,1,0.9764
-5.0,1,0.982776
-5.0,2,0.993772
-5.0,2,1.006292
-5.0,1,1.013768
-5.0,1,1.018739
-5.0,1,1.025149
-5.0,1,1.029969
-5.0,2,1.03852
-5.0,1,1.045997
-5.0,1,1.049487
-5.0,1,1.056437
-5.0,1,1.062487
-5.0,1,1.069324
-5.0,1,1.074578
-7.02,1,1.0809
-5.0,1,1.087877
-5.0,1,1.091097
-5.0,1,1.097445
-5.0,1,1.100917
-5.0,1,1.106398
-5.0,1,1.112592
-5.0,1,1.119568
-5.0,2,1.130013
-7.02,2,1.140092
-5.0,1,1.144712
-5.0,1,1.152618
-5.0,1,1.159471
-5.0,1,1.163585
-5.0,1,1.168041
-5.0,2,1.181332
-5.0,1,1.185278
-5.0,1,1.191901
-5.0,1,1.196483
-5.0,2,1.206985
-5.0,1,1.211847
-5.0,1,1.217092
-5.0,2,1.227209
-5.0,1,1.233042
-5.0,1,1.239604
-5.0,1,1.244175
-5.0,1,1.248899
-5.0,1,1.25678
-5.0,1,1.262586
-5.0,2,1.273457
-5.0,1,1.278587
-5.0,1,1.284341
-5.0,1,1.2881
-5.0,1,1.293805
-5.0,1,1.298366
-5.0,1,1.305073
-5.0,1,1.310988
-5.0,1,1.31883
-5.0,1,1.323247
-5.0,2,1.334958
-5.0,1,1.339494
-5.0,2,1.350915
-5.0,1,1.358813
-5.0,1,1.367066
-5.0,1,1.37249
-5.0,1,1.376547
-5.0,1,1.384611
-5.0,1,1.38784
-5.0,1,1.394996
-5.0,3,1.411018
-5.0,2,1.421554
-5.0,1,1.427188
-5.0,1,1.433361
-5.0,1,1.437731
-5.0,1,1.442151
-5.0,1,1.448065
-5.0,1,1.455523
-5.0,1,1.459621
-5.0,1,1.465296
-5.0,1,1.472225
-5.0,1,1.477347
-5.0,2,1.488462
-5.0,1,1.496154
-5.0,1,1.499708
-5.0,1,1.505101
-5.0,1,1.510729
-5.0,1,1.515989
-5.0,1,1.521397
-5.0,2,1.534892
-5.0,2,1.543722
-5.0,1,1.549194
-5.0,1,1.555443
-5.0,2,1.567122
-5.0,1,1.573998
-5.0,1,1.579821
-5.0,1,1.583735
-5.0,1,1.588019
-5.0,1,1.593273
-5.0,1,1.598428
-5.0,1,1.605552
-5.0,1,1.611435
-5.0,1,1.617684
-5.0,1,1.626495
-5.0,1,1.629973
-5.0,1,1.634193
-5.0,1,1.640378
-5.0,1,1.645121
-5.0,1,1.650784
-5.0,1,1.658126
-5.0,2,1.666537
-5.0,1,1.671688
-5.0,1,1.680323
-5.0,1,1.686859
-5.0,1,1.691694
-5.0,2,1.701453
-5.0,2,1.711482
-5.0,1,1.717594
-5.0,1,1.723814
-5.0,1,1.72991
-5.0,1,1.735526
-5.0,2,1.748023
-7.02,1,1.753139
-5.0,1,1.758353
-5.0,1,1.76368
-5.0,1,1.770263
-5.0,1,1.774645
-5.0,1,1.780658
-5.0,1,1.786166
-5.0,1,1.792497
-5.0,1,1.797315
-5.0,1,1.804434
-5.0,1,1.808826
-5.0,1,1.814569
-5.0,1,1.819618
-5.0,1,1.824481
-5.0,1,1.829709
-5.0,1,1.836512
-5.0,2,1.846616
-5.0,1,1.852282
-5.0,1,1.855434
-5.0,1,1.861938
-5.0,1,1.869454
-5.0,1,1.874668
-5.0,1,1.879912
-5.0,2,1.893821
-5.0,2,1.904343
-5.0,1,1.909807
-5.0,1,1.916029
-5.0,1,1.923248
-7.02,1,1.927939
-5.0,1,1.933006
-5.0,2,1.945287
-5.0,1,1.951629
-5.0,1,1.956395
-5.0,1,1.962339
-5.0,1,1.967414
-5.0,1,1.972418
-5.0,1,1.976924
-5.0,2,1.988518
-5.0,1,1.994575
-5.0,1,1.999502
-5.0,1,2.005027
-5.0,2,2.018093
-5.0,1,2.022299
-5.0,1,2.02923
-5.0,1,2.036266
-5.0,1,2.041104
-5.0,1,2.047865
-5.0,1,2.053882
-5.0,1,2.061397
-5.0,2,2.072307
-5.0,1,2.079146
-5.0,1,2.083197
-5.0,1,2.088971
-5.0,1,2.094497
-5.0,3,2.110195
-5.0,1,2.119011
-5.0,1,2.12281
-5.0,2,2.136091
-5.0,1,2.140512
-5.0,1,2.146785
-5.0,1,2.154783
-5.0,1,2.159204
-5.0,1,2.166055
-5.0,1,2.17525
-5.0,1,2.180516
-5.0,1,2.183788
-5.0,1,2.190755
-5.0,1,2.1969
-5.0,1,2.201058
-5.0,1,2.207287
-5.0,1,2.210904
-5.0,1,2.216468
-5.0,1,2.221626
-5.0,1,2.229339
-5.0,1,2.236267
-5.0,1,2.24001
-5.0,1,2.245166
-5.0,1,2.250025
-5.0,1,2.255066
-5.0,1,2.261084
-5.0,1,2.267847
-5.0,1,2.274281
-5.0,1,2.277214
-7.02,2,2.289359
-5.0,2,2.301059
-5.0,2,2.31256
-5.0,1,2.317779
-5.0,1,2.324783
-5.0,1,2.331681
-5.0,1,2.334738
-5.0,1,2.341576
-5.0,1,2.345688
-5.0,1,2.351758
-5.0,1,2.355798
-5.0,1,2.360827
-5.0,1,2.366501
-5.0,1,2.370867
-5.0,1,2.376463
-2.02,1,2.382844
-5.0,2,2.395697
-5.0,1,2.401368
-5.0,1,2.406889
-5.0,1,2.413781
-5.0,1,2.42104
-5.0,1,2.429546
-5.0,1,2.434313
-5.0,1,2.439019
-5.0,1,2.445299
-5.0,1,2.453903
-5.0,1,2.458488
-5.0,1,2.462831
-5.0,1,2.468841
-5.0,1,2.476504
-5.0,1,2.484089
-5.0,1,2.488668
-5.0,1,2.49738
-5.0,1,2.503716
-5.0,1,2.509776
-5.0,1,2.514422
-5.0,1,2.522959
-5.0,1,2.528507
-5.0,1,2.535811
-5.0,1,2.541719
-5.0,1,2.547332
-5.0,1,2.553292
-5.0,1,2.561982
-5.0,1,2.566771
-5.0,1,2.572071
-5.0,1,2.579532
-5.0,1,2.585916
-5.0,2,2.59531
-5.0,1,2.601851
-5.0,1,2.610326
-5.0,1,2.617366
-5.0,2,2.628866
-5.0,1,2.634739
-7.02,1,2.638663
-5.0,1,2.6454
-5.0,1,2.655487
-5.0,1,2.660043
-5.0,1,2.668519
-5.0,2,2.682569
-5.0,1,2.686861
-5.0,1,2.697286
-5.0,1,2.704683
-5.0,1,2.709367
-5.0,1,2.71809
-5.0,1,2.725492
-5.0,1,2.732901
-5.0,1,2.737679
-5.0,1,2.74609
-5.0,2,2.757227
-5.0,1,2.764045
-5.0,1,2.770199
-5.0,1,2.779894
-5.0,1,2.784918
-5.0,1,2.789636
-5.0,1,2.797894
-5.0,1,2.803429
-5.0,1,2.811461
-5.0,1,2.818323
-5.0,1,2.824983
-5.0,1,2.829225
-5.0,1,2.837001
-5.0,1,2.842138
-5.0,1,2.84703
-5.0,1,2.855932
-5.0,1,2.859836
-5.0,1,2.867095
-5.0,1,2.872498
-5.0,1,2.880564
-5.0,1,2.886074
-5.0,1,2.892779
-5.0,1,2.897747
-5.0,1,2.904858
-5.0,1,2.908813
-5.0,1,2.917772
-5.0,1,2.92533
-5.0,1,2.933251
-5.0,1,2.939114
-5.0,1,2.945905
-5.0,2,2.958802
-5.0,1,2.964253
-5.0,1,2.97383
-5.0,1,2.979742
-5.0,1,2.987405
-5.0,3,3.011619
-5.0,1,3.016243
-5.0,1,3.023069
-5.0,1,3.031675
-5.0,1,3.035914
-5.0,1,3.043113
-5.0,2,3.051483
-5.0,1,3.058914
-5.0,1,3.064651
-5.0,1,3.070737
-5.0,1,3.07397
-5.0,1,3.081554
-5.0,1,3.087493
-5.0,1,3.093656
-5.0,1,3.098978
-5.0,1,3.103714
-5.0,1,3.108545
-5.0,2,3.121488
-5.0,1,3.125544
-5.0,2,3.137872
-5.0,1,3.142798
-5.0,1,3.15004
-5.0,1,3.153495
-5.0,1,3.158711
-5.0,1,3.167398
-5.0,1,3.17204
-5.0,1,3.178126
-5.0,1,3.183213
-5.0,1,3.188457
-5.0,1,3.193554
-5.0,1,3.198174
-5.0,2,3.208315
-5.0,1,3.215458
-5.0,1,3.220029
-5.0,1,3.226398
-5.0,1,3.232779
-5.0,1,3.238829
-5.0,1,3.244461
-5.0,1,3.249579
-7.02,1,3.254431
-5.0,1,3.258658
-7.02,1,3.264781
-5.0,1,3.27059
-2.02,1,3.277193
-5.0,1,3.283309
-5.0,1,3.292261
-5.0,1,3.298331
-5.0,1,3.30175
-5.0,1,3.308588
-5.0,1,3.315403
-5.0,1,3.320546
-5.0,1,3.327174
-5.0,2,3.337265
-5.0,1,3.340876
-5.0,1,3.347351
-5.0,1,3.35392
-5.0,1,3.359512
-5.0,1,3.363573
-5.0,1,3.368259
-7.02,1,3.373445
-5.0,1,3.380776
-5.0,1,3.385426
-5.0,1,3.389785
-5.0,1,3.39795
-5.0,2,3.409151
-5.0,1,3.415251
-5.0,2,3.426947
-5.0,1,3.431504
-5.0,1,3.43774
-5.0,2,3.446257
-7.02,1,3.45223
-5.0,1,3.458513
-5.0,1,3.466066
-5.0,1,3.471661
-5.0,1,3.477213
-5.0,1,3.481296
-5.0,1,3.489898
-5.0,1,3.49349
-5.0,1,3.498338
-5.0,2,3.509659
-5.0,1,3.514819
-5.0,2,3.527748
-5.0,1,3.533742
-5.0,3,3.549472
-5.0,1,3.559275
-5.0,1,3.564386
-5.0,2,3.578376
-5.0,2,3.591574
-5.0,1,3.596986
-5.0,1,3.60586
-7.02,2,3.616817
-5.0,1,3.620949
-5.0,1,3.627009
-5.0,1,3.634802
-5.0,2,3.64869
-5.0,1,3.655382
-5.0,1,3.663852
-5.0,1,3.669924
-5.0,1,3.676372
-5.0,1,3.683544
-5.0,1,3.688953
-5.0,1,3.696234
-5.0,2,3.708425
-5.0,2,3.719349
-5.0,1,3.725667
-5.0,1,3.734247
-5.0,1,3.740369
-5.0,1,3.744657
-5.0,1,3.753335
-5.0,1,3.759372
-5.0,1,3.765956
-5.0,2,3.778314
-5.0,1,3.783776
-5.0,2,3.799724
-5.0,1,3.803138
-5.0,1,3.811372
-5.0,1,3.820595
-7.02,1,3.826685
-5.0,2,3.839589
-5.0,1,3.844092
-5.0,1,3.851676
-5.0,1,3.859966
-5.0,1,3.867436
-5.0,1,3.875748
-7.02,1,3.879631
-5.0,1,3.885903
-7.02,1,3.891635
-5.0,1,3.899455
-5.0,1,3.905073
-5.0,1,3.909089
-5.0,2,3.920311
-5.0,1,3.928374
-5.0,1,3.935993
-5.0,1,3.940545
-5.0,2,3.955961
-5.0,1,3.961291
-5.0,1,3.968429
-5.0,1,3.974486
-5.0,1,3.980278
-5.0,1,3.98752
-5.0,1,3.992524
-5.0,1,4.00179
-5.0,2,4.013732
-5.0,1,4.017694
-5.0,1,4.026031
-5.0,1,4.032627
-5.0,1,4.037174
-5.0,1,4.042454
-7.02,1,4.046868
-2.02,1,4.053519
-5.0,1,4.062104
-5.0,1,4.068461
-5.0,1,4.073353
-5.0,1,4.078074
-5.0,1,4.085298
-5.0,1,4.092286
-5.0,1,4.100599
-5.0,1,4.105443
-5.0,1,4.111059
-5.0,2,4.123127
-5.0,1,4.129013
-5.0,1,4.135637
-5.0,1,4.140224
-5.0,1,4.148248
-5.0,1,4.154569
-5.0,1,4.161134
-5.0,1,4.168616
-5.0,1,4.174695
-5.0,1,4.179568
-5.0,1,4.187092
-5.0,3,4.201817
-5.0,1,4.208385
-5.0,2,4.222823
-5.0,1,4.231607
-5.0,1,4.236253
-5.0,1,4.241694
-5.0,1,4.250018
-5.0,1,4.256854
-5.0,1,4.264349
-5.0,1,4.268295
-5.0,1,4.275159
-5.0,3,4.294369
-5.0,1,4.299213
-5.0,1,4.306421
-5.0,1,4.311881
-5.0,1,4.320202
-7.02,2,4.332638
-5.0,1,4.338003
-2.142857,1,4.34329
-5.0,1,4.349832
-5.0,2,4.362236
-5.0,1,4.368968
-5.0,2,4.38411
-5.0,1,4.39124
-5.0,1,4.395743
-5.0,1,4.402902
-5.0,1,4.4074
-5.0,1,4.415242
-5.0,2,4.426718
-5.0,1,4.433045
-5.0,1,4.441528
-5.0,1,4.449549
-5.0,1,4.454918
-5.0,2,4.467955
-7.02,1,4.475309
-5.0,1,4.483359
-5.0,1,4.487882
-5.0,1,4.49716
-5.0,1,4.503173
-5.0,1,4.510132
-5.0,1,4.517466
-5.0,2,4.528208
-5.0,1,4.535682
-5.0,1,4.543008
-5.0,1,4.549304
-5.0,1,4.554793
-5.0,1,4.561559
-5.0,1,4.567165
-5.0,1,4.571868
-5.0,1,4.580157
-5.0,1,4.58604
-5.0,1,4.594804
-5.0,1,4.599497
-5.0,1,4.606422
-5.0,1,4.612459
-5.0,1,4.617884
-5.0,1,4.624995
-2.02,1,4.631081
-5.0,1,4.636638
-5.0,1,4.645039
-5.0,1,4.651233
-5.0,1,4.659542
-5.0,1,4.66413
-7.02,2,4.674526
-5.0,1,4.679732
-5.0,1,4.686543
-5.0,1,4.692874
-5.0,1,4.699657
-5.0,1,4.706532
-5.0,1,4.713056
-5.0,1,4.721756
-7.02,1,4.728063
-5.0,1,4.735292
-5.0,1,4.742149
-5.0,1,4.745954
-5.0,1,4.753906
-5.0,1,4.759041
-5.0,1,4.767772
-5.0,1,4.771356
