#{"t_start": 1763362893.334886, "env_id": "None"}
r,l,t
-5.0,1,0.886024
-5.0,1,0.892492
-5.0,1,0.899093
-5.0,2,0.910562
-5.0,1,0.91697
-5.0,1,0.92192
-5.0,1,0.927905
-5.0,2,0.938205
-5.0,1,0.94124
-5.0,2,0.952062
-5.0,1,0.957692
-5.0,1,0.96379
-5.0,1,0.968238
-5.0,1,0.974082
-5.0,1,0.98079
-5.0,1,0.985806
-5.0,1,0.993551
-5.0,1,1.001623
-7.02,1,1.005646
-5.0,3,1.020762
-5.0,2,1.031299
-5.0,1,1.03777
-5.0,2,1.048358
-5.0,1,1.05601
-5.0,1,1.062686
-5.0,1,1.067937
-5.0,1,1.073752
-5.0,1,1.080018
-5.0,1,1.084183
-5.0,1,1.08836
-5.0,1,1.09541
-5.0,1,1.100765
-5.0,1,1.105139
-5.0,1,1.111629
-5.0,1,1.117286
-5.0,1,1.12298
-5.0,1,1.128883
-5.0,1,1.132616
-7.02,2,1.144084
-5.0,1,1.151136
-5.0,1,1.157267
-5.0,1,1.162308
-5.0,1,1.167848
-5.0,1,1.172299
-5.0,1,1.177323
-5.0,1,1.182559
-5.0,1,1.187999
-5.0,1,1.192864
-5.0,1,1.198336
-5.0,1,1.204736
-5.0,1,1.211087
-5.0,2,1.220629
-5.0,1,1.226537
-5.0,1,1.232759
-5.0,1,1.23659
-5.0,1,1.243701
-5.0,1,1.247915
-5.0,1,1.253683
-5.0,1,1.261645
-5.0,2,1.271313
-5.0,1,1.276531
-5.0,1,1.281976
-5.0,1,1.287897
-5.0,1,1.2922
-5.0,2,1.305657
-5.0,1,1.311299
-5.0,1,1.317712
-5.0,2,1.327854
-5.0,1,1.33432
-5.0,1,1.339974
-5.0,2,1.355214
-5.0,3,1.369984
-5.0,2,1.383626
-5.0,2,1.394006
-5.0,1,1.398002
-5.0,1,1.403174
-5.0,1,1.408313
-5.0,1,1.414276
-5.0,2,1.425095
-5.0,2,1.435976
-5.0,1,1.441637
-5.0,2,1.455511
-5.0,1,1.460497
