#{"t_start": 1763362893.3279674, "env_id": "None"}
r,l,t
-5.0,1,0.894137
-5.0,1,0.900203
-5.0,1,0.906737
-5.0,1,0.912386
-5.0,1,0.917057
-5.0,1,0.922246
-5.0,1,0.929299
-5.0,1,0.934061
-5.0,1,0.938376
-5.0,1,0.943193
-5.0,1,0.949635
-5.0,1,0.954237
-5.0,1,0.960257
-5.0,1,0.964693
-5.0,1,0.969494
-5.0,1,0.975071
-5.0,1,0.982103
-5.0,1,0.986565
-5.0,1,0.993673
-5.0,1,1.001202
-5.0,1,1.007689
-5.0,1,1.011849
-5.0,1,1.018068
-5.0,1,1.02407
-5.0,1,1.027918
-5.0,1,1.032473
-5.0,1,1.039882
-5.0,1,1.043979
-5.0,1,1.049733
-5.0,1,1.056687
-5.0,1,1.061185
-5.0,2,1.074818
-5.0,1,1.080371
-5.0,1,1.085221
-5.0,1,1.091012
-5.0,1,1.09575
-5.0,1,1.10217
-7.02,1,1.10886
-5.0,1,1.113347
-5.0,1,1.117599
-7.02,1,1.12395
-5.0,1,1.12911
-5.0,1,1.135328
-5.0,1,1.140641
-5.0,1,1.146482
-5.0,1,1.150334
-5.0,1,1.157112
-5.0,1,1.163698
-5.0,2,1.173862
-5.0,1,1.181326
-5.0,1,1.185985
-5.0,2,1.194873
-5.0,1,1.202111
-5.0,1,1.207387
-5.0,1,1.211124
-5.0,1,1.216659
-5.0,1,1.221771
-5.0,1,1.226085
-5.0,1,1.232477
-5.0,1,1.238736
-5.0,1,1.243479
-5.0,2,1.255588
-5.0,1,1.261227
-5.0,1,1.266519
-5.0,1,1.272024
-5.0,1,1.276882
-5.0,2,1.289052
-5.0,1,1.294264
-5.0,1,1.298984
-5.0,1,1.307368
-5.0,1,1.311874
-5.0,1,1.319997
-5.0,3,1.333649
-5.0,1,1.342057
-5.0,1,1.348569
-5.0,1,1.355443
-5.0,1,1.362001
-5.0,2,1.371075
-5.0,1,1.377717
-5.0,1,1.383996
-5.0,1,1.39023
-5.0,1,1.393888
-5.0,1,1.400886
-5.0,1,1.404298
-5.0,1,1.410414
-5.0,1,1.414348
-7.02,1,1.420578
-5.0,2,1.431448
-5.0,1,1.437802
-5.0,1,1.442531
-5.0,1,1.449821
-5.0,1,1.454366
-5.0,1,1.461787
-5.0,1,1.466034
