#{"t_start": 1763362893.3222003, "env_id": "None"}
r,l,t
-5.0,1,0.900354
-5.0,1,0.906669
-5.0,1,0.911636
-5.0,1,0.916575
-5.0,1,0.923805
-5.0,1,0.928947
-5.0,1,0.935571
-5.0,1,0.939783
-5.0,3,0.955652
-5.0,1,0.959915
-5.0,1,0.965381
-5.0,1,0.970146
-5.0,1,0.975472
-5.0,1,0.982931
-5.0,1,0.986915
-5.0,1,0.991904
-5.0,1,1.001724
-5.0,2,1.013896
-5.0,1,1.018762
-5.0,1,1.025264
-5.0,1,1.030014
-5.0,1,1.033327
-5.0,1,1.040425
-5.0,1,1.044395
-7.02,1,1.048805
-5.0,1,1.056775
-5.0,1,1.061057
-5.0,1,1.06701
-5.0,1,1.073556
-5.0,1,1.080429
-5.0,1,1.086689
-5.0,1,1.091406
-5.0,1,1.096151
-5.0,1,1.10057
-5.0,1,1.107934
-5.0,1,1.114434
-5.0,1,1.117943
-5.0,1,1.124496
-5.0,1,1.129349
-5.0,1,1.135177
-5.0,3,1.151256
-5.0,1,1.156617
-5.0,1,1.164931
-5.0,2,1.174424
-5.0,1,1.181263
-5.0,1,1.184941
-5.0,3,1.200295
-5.0,1,1.206343
-5.0,1,1.211325
-5.0,1,1.217775
-5.0,1,1.221164
-5.0,1,1.227078
-5.0,1,1.234582
-7.02,2,1.244864
-5.0,1,1.250631
-5.0,2,1.261976
-5.0,1,1.266588
-5.0,1,1.274094
-5.0,1,1.279627
-5.0,1,1.283909
-5.0,1,1.289437
-5.0,1,1.29401
-5.0,2,1.304047
-5.0,1,1.311433
-5.0,1,1.319448
-5.0,3,1.333938
-5.0,1,1.341872
-5.0,1,1.347297
-5.0,1,1.353107
-5.0,1,1.360296
-5.0,1,1.368605
-5.0,2,1.377201
-5.0,1,1.384108
-5.0,1,1.39069
-5.0,1,1.39417
-5.0,2,1.404645
-5.0,1,1.411489
-5.0,1,1.414777
-5.0,1,1.421508
-5.0,1,1.428115
-5.0,1,1.432002
-5.0,1,1.438693
-5.0,2,1.450194
-5.0,1,1.455092
-5.0,1,1.460502
-5.0,1,1.467418
-5.0,2,1.4767
-5.0,2,1.488967
-5.0,1,1.494524
-5.0,1,1.499976
-5.0,1,1.50591
-5.0,1,1.513201
-5.0,1,1.5176
-5.0,1,1.523468
-5.0,1,1.527818
-5.0,1,1.534265
-2.02,1,1.538972
-5.0,1,1.544112
-5.0,1,1.549844
-5.0,1,1.5547
-5.0,1,1.562039
-5.0,1,1.566237
-5.0,3,1.584005
-5.0,1,1.588273
-5.0,2,1.598462
-5.0,1,1.605509
-5.0,1,1.611617
-5.0,1,1.618993
-5.0,1,1.626305
-5.0,1,1.630072
-5.0,2,1.640624
-5.0,1,1.645857
-5.0,1,1.65304
-5.0,1,1.658195
-5.0,1,1.662024
-5.0,1,1.666871
-5.0,1,1.672731
-5.0,1,1.680054
-5.0,1,1.686233
-5.0,1,1.690574
-5.0,1,1.69632
-5.0,1,1.702726
-7.02,1,1.706885
-5.0,1,1.713482
-5.0,2,1.72283
-5.0,1,1.730187
-5.0,2,1.742756
-5.0,1,1.749341
-5.0,1,1.75425
-5.0,1,1.75887
-5.0,2,1.769772
-5.0,1,1.775259
-5.0,1,1.781574
-7.02,1,1.784953
-5.0,1,1.792976
-5.0,1,1.797221
-5.0,1,1.804646
-5.0,1,1.808978
-5.0,1,1.814161
-5.0,1,1.818614
-5.0,1,1.825193
-5.0,1,1.830545
-5.0,2,1.839653
-5.0,1,1.847465
-5.0,1,1.851824
-5.0,1,1.857907
-5.0,1,1.861561
-5.0,2,1.875716
-5.0,1,1.880948
-5.0,1,1.888088
-5.0,1,1.893089
-5.0,1,1.898474
-5.0,1,1.905257
-5.0,2,1.917961
-5.0,1,1.922018
-5.0,1,1.927527
-5.0,1,1.934249
-5.0,2,1.946805
-5.0,1,1.952456
-5.0,1,1.957975
-5.0,2,1.96742
-5.0,1,1.971338
-5.0,1,1.978563
-5.0,2,1.988543
-5.0,1,1.993398
-5.0,1,2.000194
-5.0,1,2.006464
-5.0,1,2.010876
-5.0,1,2.017224
-5.0,2,2.031877
-5.0,1,2.036907
-5.0,1,2.043266
-5.0,1,2.047704
-5.0,2,2.060604
-5.0,1,2.067818
