#{"t_start": 1763362893.3222272, "env_id": "None"}
r,l,t
-5.0,1,2.628112
-5.0,1,2.633207
-5.0,2,2.648633
-5.0,1,2.653682
-5.0,1,2.660317
-5.0,2,2.677011
-5.0,1,2.683479
-5.0,1,2.690763
-5.0,1,2.694805
-5.0,1,2.70381
-5.0,1,2.712726
-5.0,1,2.717484
-2.02,1,2.724124
-5.0,1,2.73349
-5.0,1,2.738808
-5.0,1,2.744464
-5.0,2,2.759097
-5.0,1,2.766044
-5.0,1,2.773211
-5.0,1,2.780313
-5.0,1,2.784315
-5.0,2,2.797598
-5.0,4,2.824881
-5.0,2,2.834352
-5.0,1,2.840496
-5.0,1,2.847683
-5.0,1,2.854226
-5.0,1,2.85982
-5.0,2,2.871952
-5.0,1,2.879502
-5.0,1,2.886438
-5.0,1,2.892416
-5.0,2,2.90527
-5.0,1,2.909912
-5.0,1,2.9195
-5.0,1,2.928425
-5.0,2,2.939678
-5.0,1,2.945302
-5.0,1,2.952924
-5.0,1,2.959486
-5.0,1,2.963447
-5.0,1,2.970305
-5.0,1,2.979518
-5.0,1,2.986908
-5.0,1,2.994697
-5.0,1,3.00072
-5.0,1,3.011126
-5.0,2,3.024571
-5.0,1,3.030668
-5.0,1,3.037674
-5.0,1,3.040874
-5.0,1,3.046685
-5.0,1,3.05262
-5.0,1,3.05785
-5.0,1,3.064896
-5.0,1,3.070148
-5.0,2,3.081954
-5.0,1,3.08722
-5.0,1,3.09346
-7.02,2,3.104017
-5.0,2,3.115365
-5.0,1,3.121564
-5.0,1,3.125516
-5.0,1,3.13051
-5.0,1,3.136459
-5.0,1,3.141834
-5.0,1,3.149184
-5.0,1,3.154183
-5.0,1,3.160495
-5.0,1,3.165587
-5.0,1,3.172031
-7.02,1,3.176353
-5.0,2,3.186995
-5.0,2,3.197745
-5.0,1,3.203238
-5.0,1,3.208158
-5.0,1,3.215144
-5.0,2,3.227054
-5.0,1,3.230879
-5.0,1,3.236874
-7.02,1,3.24434
-5.0,1,3.249193
-5.0,1,3.255399
-5.0,1,3.26108
-5.0,1,3.266513
-5.0,1,3.271467
-5.0,1,3.278042
-5.0,1,3.285378
-5.0,1,3.29234
-5.0,2,3.301895
-5.0,1,3.307503
-5.0,1,3.313655
-5.0,1,3.319385
-5.0,3,3.337062
-5.0,1,3.341322
-5.0,1,3.346578
-5.0,1,3.352407
-5.0,1,3.360158
-5.0,1,3.364038
-5.0,1,3.36933
-5.0,1,3.373355
-5.0,1,3.378497
-5.0,1,3.386152
-5.0,2,3.396783
-5.0,2,3.410059
-5.0,2,3.420066
-5.0,1,3.426614
-7.02,2,3.436234
-5.0,1,3.44135
-7.02,1,3.447693
-5.0,2,3.457598
-5.0,2,3.47009
-5.0,1,3.476
-5.0,1,3.483726
-5.0,1,3.488115
-5.0,1,3.494815
-5.0,1,3.498466
-5.0,1,3.504993
-5.0,1,3.509442
-5.0,1,3.513876
-5.0,1,3.521487
-5.0,1,3.52621
-5.0,1,3.531303
-5.0,3,3.552215
-5.0,1,3.558737
-5.0,1,3.564241
-5.0,1,3.571083
-5.0,1,3.575812
-5.0,1,3.583006
-5.0,1,3.589446
-5.0,1,3.599111
-5.0,2,3.612107
-5.0,1,3.616496
-5.0,2,3.627344
-5.0,1,3.635478
-5.0,1,3.643893
-5.0,1,3.648578
-7.02,1,3.654898
-5.0,1,3.662994
-5.0,1,3.669899
-5.0,1,3.677248
-5.0,1,3.68175
-5.0,3,3.702666
-5.0,1,3.706989
-5.0,1,3.715122
-5.0,1,3.719715
-5.0,1,3.725401
-5.0,1,3.7341
-5.0,2,3.745206
-5.0,1,3.751453
-5.0,1,3.760729
-5.0,1,3.764279
-5.0,1,3.770504
-5.0,2,3.786111
-5.0,1,3.792183
-5.0,1,3.797347
-5.0,1,3.805155
-5.0,1,3.8114
-5.0,1,3.8195
-5.0,1,3.82603
-5.0,1,3.832982
-5.0,3,3.852682
-5.0,1,3.860266
-5.0,1,3.866507
-5.0,1,3.875454
-5.0,1,3.879279
-5.0,1,3.887192
-5.0,2,3.897341
-5.0,3,3.914242
-5.0,1,3.919613
-5.0,1,3.926886
-5.0,2,3.939514
-5.0,1,3.945497
-5.0,1,3.955452
-5.0,1,3.962295
-5.0,1,3.966783
-5.0,2,3.979689
-5.0,1,3.987409
-5.0,1,3.992061
-5.0,1,3.999536
-5.0,1,4.007108
-5.0,1,4.012851
-5.0,1,4.018573
-5.0,1,4.024749
-5.0,2,4.037279
-5.0,1,4.043273
-5.0,1,4.047988
-5.0,1,4.056684
-5.0,1,4.061567
-5.0,1,4.06865
-5.0,1,4.072526
-5.0,1,4.078108
-5.0,3,4.098573
-5.0,1,4.105721
-5.0,5,4.134604
-5.0,1,4.140809
-5.0,1,4.14877
-5.0,1,4.155575
-5.0,1,4.160769
-5.0,1,4.167253
-5.0,1,4.173484
-5.0,1,4.178224
-5.0,1,4.185676
-5.0,2,4.198824
-5.0,1,4.202303
-5.0,1,4.210226
-5.0,1,4.217124
-5.0,2,4.22809
-5.0,3,4.25026
-5.0,1,4.255936
-5.0,2,4.269118
-5.0,1,4.273446
-5.0,1,4.282921
-5.0,1,4.287979
-5.0,1,4.294323
-5.0,1,4.298124
-7.02,2,4.311095
-5.0,1,4.31804
-5.0,1,4.32581
-5.0,1,4.331269
-5.0,1,4.338344
-5.0,1,4.345662
-5.0,1,4.349511
-5.0,1,4.35586
-5.0,1,4.361957
-5.0,1,4.371167
-5.0,1,4.376446
-5.0,1,4.384995
-5.0,1,4.390335
-5.0,1,4.394988
-5.0,1,4.401237
-5.0,1,4.407097
-5.0,1,4.414027
-5.0,1,4.419559
-5.0,1,4.427204
-5.0,1,4.435855
-7.02,1,4.442876
-5.0,2,4.453648
-5.0,1,4.462853
-5.0,1,4.470107
-5.0,1,4.475397
-5.0,1,4.483567
-5.0,1,4.489235
-5.0,1,4.496456
-5.0,1,4.503944
-5.0,1,4.509454
-5.0,1,4.517843
-5.0,1,4.522887
-5.0,1,4.528143
-5.0,2,4.54238
-5.0,1,4.548506
-5.0,2,4.56267
-5.0,1,4.567457
-5.0,1,4.574005
-5.0,1,4.581091
-5.0,1,4.586691
-5.0,1,4.59339
-5.0,1,4.599281
-5.0,1,4.605589
-5.0,1,4.612181
-5.0,1,4.616845
-5.0,1,4.626459
-7.02,2,4.639055
-5.0,2,4.651952
-5.0,1,4.659258
-5.0,1,4.664802
-5.0,3,4.681419
-5.0,1,4.686821
-5.0,3,4.707018
-5.0,1,4.714147
-5.0,1,4.720258
-5.0,1,4.727051
-5.0,1,4.733051
-5.0,2,4.747778
-5.0,1,4.754387
-5.0,1,4.760474
-5.0,2,4.774826
-5.0,1,4.779749
-5.0,1,4.78592
-5.0,1,4.792707
-5.0,2,4.805595
-5.0,1,4.810776
-5.0,1,4.818252
-5.0,1,4.824134
-5.0,1,4.831698
-5.0,1,4.836727
-5.0,1,4.846508
-5.0,1,4.850622
-5.0,1,4.856124
-5.0,1,4.863564
-5.0,1,4.869551
-7.02,1,4.87644
-5.0,2,4.890033
-5.0,1,4.89535
-5.0,1,4.901379
-5.0,2,4.918357
-5.0,1,4.925048
-5.0,2,4.938184
-5.0,1,4.944313
-7.02,1,4.949856
-5.0,1,4.956923
-2.02,1,4.964075
-5.0,1,4.971139
-5.0,1,4.978612
-5.0,1,4.983147
-5.0,1,4.989366
-5.0,1,4.995708
-5.0,2,5.008164
-5.0,1,5.013931
-5.0,2,5.030513
-7.02,1,5.034414
-5.0,1,5.044409
-5.0,1,5.050684
-5.0,1,5.059716
-5.0,1,5.065
-5.0,1,5.072411
-5.0,1,5.080336
-5.0,1,5.086079
-5.0,3,5.103589
-5.0,1,5.112219
-5.0,1,5.11672
-5.0,1,5.123992
-5.0,1,5.128946
-5.0,1,5.137637
-5.0,1,5.144993
-5.0,1,5.151586
-5.0,1,5.15662
-5.0,1,5.165674
-5.0,1,5.171455
-5.0,1,5.179484
-5.0,1,5.185423
-5.0,1,5.19232
-5.0,1,5.198594
-5.0,1,5.203948
-5.0,3,5.222944
-5.0,3,5.24311
-5.0,1,5.246922
-5.0,1,5.254214
-5.0,1,5.261535
-5.0,2,5.271805
-5.0,1,5.278667
-5.0,1,5.285505
-5.0,1,5.291188
-7.02,1,5.297042
-5.0,1,5.303374
-5.0,1,5.311312
-5.0,1,5.318748
-5.0,1,5.322669
-5.0,1,5.328876
-5.0,1,5.336184
-5.0,2,5.348394
-5.0,3,5.370712
-5.0,1,5.377087
-5.0,1,5.385799
-5.0,1,5.393129
-5.0,1,5.397527
-5.0,1,5.403934
-5.0,1,5.412267
-5.0,1,5.415603
-5.0,1,5.425919
-5.0,1,5.431679
-5.0,1,5.438929
-5.0,1,5.446309
-5.0,1,5.450568
-5.0,1,5.457344
-5.0,1,5.462983
-5.0,2,5.475134
-5.0,1,5.482366
-5.0,1,5.488186
-5.0,1,5.492998
-2.02,2,5.504003
-5.0,1,5.511619
-5.0,1,5.520526
-5.0,2,5.532531
-5.0,1,5.538263
-5.0,1,5.545187
-5.0,1,5.5503
-5.0,1,5.558265
-5.0,1,5.563206
-5.0,1,5.569489
-5.0,4,5.594381
-5.0,1,5.601155
-5.0,1,5.606974
-5.0,1,5.612046
-5.0,1,5.62001
-5.0,1,5.627491
-5.0,1,5.634372
-5.0,1,5.640514
-5.0,1,5.650803
-5.0,1,5.656606
-5.0,2,5.670782
-5.0,2,5.683349
-5.0,1,5.690084
-5.0,1,5.698445
-5.0,1,5.704874
-5.0,1,5.708951
-5.0,1,5.716165
-5.0,1,5.72219
-5.0,2,5.735638
-5.0,1,5.740061
-5.0,1,5.748258
-5.0,1,5.753115
-5.0,1,5.758989
-5.0,1,5.765307
-5.0,1,5.769774
-5.0,1,5.774742
-5.0,1,5.783981
-5.0,1,5.791705
-5.0,1,5.796136
-5.0,1,5.803203
-5.0,1,5.809201
-5.0,2,5.819696
-5.0,1,5.82587
-5.0,1,5.834053
-5.0,1,5.839952
-5.0,1,5.847831
-5.0,1,5.852963
-5.0,1,5.861676
-5.0,1,5.869001
-5.0,1,5.874825
-5.0,1,5.880326
-5.0,1,5.886968
-5.0,1,5.891329
-5.0,1,5.897658
-5.0,2,5.910879
-5.0,1,5.91737
-5.0,1,5.922784
-5.0,1,5.9307
-5.0,1,5.935815
-5.0,1,5.941354
-5.0,1,5.950565
-5.0,1,5.959998
-5.0,1,5.96384
-5.0,1,5.973863
-5.0,1,5.97961
-5.0,1,5.985449
-5.0,1,5.993475
-5.0,1,6.002511
-5.0,1,6.006036
-5.0,1,6.013522
-5.0,1,6.021562
-5.0,1,6.026461
-5.0,1,6.031895
-5.0,1,6.038643
-5.0,1,6.046926
-5.0,1,6.054687
-5.0,1,6.059994
-5.0,1,6.06738
-5.0,1,6.07215
-5.0,1,6.079738
-5.0,1,6.086811
-5.0,1,6.092705
-5.0,2,6.106682
-5.0,1,6.112815
-5.0,1,6.118792
-5.0,1,6.125805
-5.0,1,6.130198
-5.0,1,6.137163
-5.0,1,6.143968
-7.02,2,6.156385
-5.0,1,6.160877
-5.0,1,6.168937
-5.0,1,6.173041
-5.0,1,6.180679
-5.0,1,6.187828
-5.0,2,6.198846
-5.0,1,6.204227
-5.0,1,6.212498
-5.0,1,6.217405
-5.0,1,6.223089
-5.0,1,6.230527
-5.0,1,6.236264
-5.0,1,6.243683
-5.0,1,6.252599
-5.0,1,6.256284
-5.0,2,6.270094
-2.02,1,6.275228
-5.0,1,6.28256
-5.0,1,6.288808
-5.0,1,6.293597
-5.0,1,6.300772
-5.0,1,6.308366
-5.0,1,6.316118
-5.0,1,6.321139
-5.0,1,6.327444
-5.0,1,6.335088
-5.0,1,6.340529
-5.0,1,6.346788
-5.0,3,6.3656
-5.0,1,6.371424
-5.0,2,6.386245
-5.0,1,6.392625
-5.0,2,6.406113
-5.0,1,6.413455
-5.0,1,6.417108
-5.0,1,6.423874
-5.0,1,6.429219
-5.0,1,6.436798
-5.0,2,6.448641
-5.0,1,6.452837
-5.0,2,6.467726
-5.0,2,6.480462
-5.0,1,6.485679
-5.0,2,6.499395
-5.0,1,6.505213
-5.0,1,6.512319
-5.0,1,6.517502
-5.0,1,6.52469
-5.0,1,6.532457
-5.0,1,6.538154
-5.0,2,6.551219
-5.0,1,6.561631
-5.0,1,6.567228
-5.0,1,6.576401
-5.0,1,6.583077
-5.0,1,6.588608
-5.0,1,6.593887
-5.0,1,6.599655
-5.0,1,6.608772
-5.0,1,6.614179
-5.0,1,6.621968
-5.0,1,6.626862
-5.0,2,6.640426
-5.0,1,6.649179
-5.0,1,6.654887
-5.0,1,6.661518
-5.0,1,6.665234
-5.0,1,6.671285
-5.0,1,6.679456
-5.0,1,6.685812
-5.0,1,6.689208
-5.0,1,6.69858
-5.0,1,6.703535
-5.0,1,6.707743
-5.0,2,6.720585
-5.0,1,6.72859
-5.0,1,6.73497
-5.0,1,6.739487
-5.0,1,6.746959
-5.0,1,6.750801
-5.0,1,6.758224
-5.0,1,6.76557
-5.0,1,6.771528
-5.0,1,6.778042
-5.0,1,6.785035
-5.0,1,6.792084
-5.0,1,6.795061
-5.0,1,6.804244
-5.0,1,6.810513
-5.0,1,6.817156
-5.0,1,6.822525
-5.0,1,6.829732
-5.0,1,6.833744
-5.0,1,6.842026
-5.0,2,6.85371
-5.0,1,6.860521
-5.0,1,6.866091
-5.0,1,6.873138
-5.0,1,6.880626
-5.0,1,6.886903
-5.0,1,6.893709
-5.0,1,6.899944
-5.0,1,6.908189
-5.0,1,6.912651
-5.0,1,6.92068
-5.0,1,6.926353
-5.0,1,6.932965
-5.0,1,6.93849
-5.0,1,6.948063
-5.0,3,6.968828
-5.0,2,6.980068
-5.0,1,6.986513
-5.0,2,6.99873
-5.0,1,7.009204
-5.0,2,7.021363
-5.0,1,7.025714
-5.0,1,7.033844
-5.0,1,7.038228
-5.0,1,7.043065
-5.0,1,7.048879
-5.0,1,7.056083
-5.0,2,7.067331
-5.0,1,7.075013
-5.0,1,7.080365
-2.02,1,7.086952
-5.0,1,7.095531
-5.0,4,7.120241
-5.0,2,7.132582
-5.0,1,7.136316
-5.0,1,7.145189
-5.0,1,7.15133
-5.0,1,7.162869
-5.0,1,7.16763
-5.0,2,7.1809
-5.0,1,7.185768
-5.0,1,7.193699
-5.0,1,7.19887
-5.0,3,7.219736
-5.0,1,7.222976
-5.0,1,7.230308
-5.0,1,7.237146
-5.0,1,7.244375
-5.0,1,7.250944
-5.0,1,7.257342
-5.0,1,7.265908
-5.0,1,7.270959
-5.0,2,7.284228
-5.0,1,7.289008
-5.0,1,7.295339
-5.0,1,7.300542
-5.0,1,7.306648
-7.02,1,7.312914
-5.0,1,7.320301
-5.0,1,7.327908
-5.0,1,7.33233
-5.0,1,7.341156
-5.0,1,7.34514
-5.0,1,7.352581
-5.0,1,7.358704
-7.02,1,7.363703
-5.0,3,7.380153
-5.0,1,7.388697
-5.0,1,7.393459
-5.0,1,7.4013
-5.0,1,7.405813
-5.0,1,7.413938
-5.0,1,7.418242
-5.0,1,7.424268
-5.0,1,7.430728
-5.0,1,7.438667
-7.02,1,7.445589
-5.0,1,7.449367
-5.0,1,7.459298
-5.0,1,7.466287
-5.0,2,7.477083
-5.0,1,7.482307
-5.0,1,7.491995
-5.0,1,7.498141
-5.0,2,7.50934
-5.0,1,7.515535
-5.0,1,7.523099
-5.0,1,7.528953
-5.0,1,7.533565
-5.0,2,7.544683
-5.0,1,7.554017
-5.0,1,7.559569
-5.0,1,7.563979
-5.0,1,7.571691
-5.0,2,7.586367
-5.0,1,7.591559
-5.0,2,7.605015
-5.0,1,7.610431
-5.0,1,7.62057
-5.0,1,7.624357
-5.0,2,7.63869
-5.0,2,7.649798
-5.0,1,7.657841
-5.0,1,7.663444
-5.0,1,7.671907
-5.0,1,7.67523
-5.0,1,7.683922
-5.0,1,7.69078
-5.0,2,7.703428
-5.0,1,7.70768
-5.0,3,7.729728
-5.0,1,7.737844
-5.0,2,7.751783
-5.0,1,7.759655
-5.0,1,7.767443
-5.0,1,7.771869
-5.0,1,7.77825
-5.0,1,7.783632
-5.0,1,7.789046
-5.0,1,7.7975
-5.0,1,7.802774
-2.02,1,7.806225
-5.0,1,7.81449
-5.0,1,7.820066
-5.0,1,7.82521
-5.0,1,7.833288
-5.0,2,7.846365
-5.0,1,7.850734
-5.0,1,7.857562
-5.0,1,7.864701
-5.0,2,7.873589
-5.0,2,7.885601
-5.0,1,7.892986
-5.0,1,7.899119
-5.0,1,7.904803
-5.0,1,7.910039
-5.0,1,7.918431
-5.0,1,7.922908
-5.0,2,7.936574
-5.0,1,7.941387
-5.0,1,7.947757
-5.0,1,7.955062
-5.0,1,7.960468
-5.0,1,7.966665
-5.0,2,7.978785
-5.0,1,7.984242
-5.0,1,7.989516
-5.0,1,7.997222
-5.0,1,8.002573
-5.0,1,8.008066
-5.0,1,8.014703
-5.0,1,8.022272
-5.0,1,8.036871
-5.0,1,8.045113
-5.0,1,8.050931
-5.0,1,8.058183
-5.0,1,8.064511
-5.0,1,8.068704
-5.0,1,8.075119
-5.0,1,8.081037
-5.0,1,8.086101
-5.0,2,8.099856
-5.0,1,8.103308
-5.0,1,8.110943
-7.02,1,8.116165
-5.0,1,8.122486
-5.0,1,8.127778
-5.0,1,8.13501
-5.0,2,8.147241
-5.0,2,8.162772
-5.0,1,8.169018
-5.0,1,8.174909
-5.0,1,8.181788
-5.0,2,8.194109
-5.0,2,8.206257
-5.0,1,8.213318
-5.0,2,8.225935
-5.0,1,8.231281
-5.0,1,8.236352
-5.0,1,8.244419
-5.0,1,8.251096
-5.0,1,8.256725
-5.0,1,8.266253
-5.0,1,8.272218
-5.0,1,8.278705
-5.0,1,8.284378
-5.0,1,8.289742
-5.0,2,8.301534
-7.02,1,8.311064
-5.0,1,8.316254
-5.0,1,8.324359
-5.0,2,8.335243
-5.0,1,8.34374
-7.02,1,8.356344
-5.0,1,8.362424
-5.0,1,8.371261
-5.0,1,8.379442
