#{"t_start": 1763362893.322091, "env_id": "None"}
r,l,t
-5.0,1,0.900481
-5.0,1,0.90531
-5.0,1,0.910661
-5.0,2,0.923702
-5.0,1,0.927458
-5.0,1,0.934671
-5.0,1,0.939373
-5.0,1,0.944889
-5.0,1,0.948923
-5.0,1,0.955473
-5.0,1,0.959015
-5.0,1,0.9656
-5.0,1,0.970711
-5.0,1,0.975392
-5.0,1,0.980636
-5.0,1,0.986876
-5.0,1,0.990677
-5.0,1,1.000891
-5.0,1,1.009106
-5.0,1,1.012594
-5.0,1,1.018631
-5.0,1,1.025551
-5.0,1,1.02856
-5.0,1,1.034557
-5.0,1,1.039347
-5.0,1,1.045077
-5.0,1,1.051478
-5.0,1,1.056902
-5.0,2,1.067408
-5.0,1,1.073928
-5.0,2,1.086653
-5.0,1,1.092823
-5.0,1,1.097816
-5.0,2,1.108173
-5.0,1,1.113364
-5.0,1,1.118245
-5.0,1,1.123765
-5.0,1,1.129134
-5.0,1,1.134548
-5.0,1,1.140422
-5.0,1,1.1454
-5.0,1,1.150441
-5.0,1,1.159104
-5.0,3,1.175936
-5.0,1,1.178923
-5.0,1,1.186769
-5.0,1,1.191016
-5.0,1,1.195669
-5.0,1,1.200793
-5.0,1,1.207988
-5.0,1,1.21231
-5.0,1,1.217209
-5.0,1,1.222035
-5.0,1,1.228731
-5.0,1,1.23281
-5.0,1,1.241009
-5.0,1,1.244211
-5.0,1,1.252118
-5.0,1,1.256815
-7.02,1,1.259998
-5.0,1,1.268407
-5.0,1,1.272068
-5.0,1,1.277726
-5.0,1,1.283945
-5.0,1,1.288684
-5.0,2,1.300288
-5.0,1,1.30471
-5.0,1,1.311146
-5.0,1,1.31869
-5.0,1,1.32376
-5.0,1,1.329325
-5.0,1,1.33495
-5.0,1,1.342278
-5.0,1,1.34578
-5.0,1,1.352418
-5.0,1,1.359947
-5.0,1,1.366692
-5.0,1,1.373129
-5.0,1,1.377768
-5.0,2,1.388812
-5.0,1,1.396801
-5.0,2,1.405471
-5.0,2,1.416891
-5.0,1,1.420169
-5.0,1,1.426454
-5.0,1,1.431915
-5.0,1,1.436363
-5.0,1,1.444306
-5.0,2,1.454582
-5.0,1,1.458449
-5.0,1,1.465721
-5.0,1,1.471573
-5.0,1,1.476875
-5.0,1,1.484528
-5.0,1,1.489698
-5.0,1,1.496187
-5.0,1,1.499621
-5.0,1,1.506228
-5.0,1,1.512394
-5.0,1,1.518682
-5.0,1,1.52221
-5.0,1,1.529189
-5.0,1,1.534879
-5.0,1,1.53791
-5.0,1,1.544147
-7.02,1,1.550171
-5.0,2,1.560818
-5.0,1,1.567044
-5.0,1,1.572892
-5.0,2,1.583737
-5.0,1,1.588892
-5.0,1,1.594469
-5.0,2,1.603479
-5.0,1,1.610444
-5.0,1,1.619768
-5.0,1,1.626574
-5.0,1,1.629952
-5.0,1,1.635264
-5.0,1,1.640643
-5.0,1,1.646044
-5.0,1,1.652361
-5.0,1,1.657255
-5.0,1,1.66182
-5.0,1,1.667528
-5.0,2,1.680876
-5.0,2,1.691251
-5.0,1,1.697848
-5.0,1,1.701698
-5.0,2,1.71275
-5.0,1,1.719829
-5.0,1,1.724308
-5.0,1,1.730559
-5.0,1,1.73841
-5.0,2,1.74898
-5.0,1,1.753343
-5.0,1,1.758251
-5.0,1,1.765076
-5.0,1,1.770675
-5.0,1,1.774869
-5.0,2,1.788275
-5.0,1,1.79179
-5.0,2,1.804058
-5.0,1,1.808676
-5.0,1,1.814814
-5.0,1,1.820088
-5.0,1,1.823689
-5.0,1,1.828911
-5.0,1,1.836561
-5.0,2,1.846479
-5.0,1,1.852416
-5.0,1,1.857489
-5.0,1,1.86135
-5.0,1,1.867954
-5.0,1,1.875289
-5.0,1,1.881525
-5.0,1,1.885946
-5.0,1,1.89192
-5.0,1,1.899218
-5.0,1,1.903427
-5.0,3,1.924463
-5.0,1,1.928787
-5.0,2,1.940175
-5.0,1,1.94747
-5.0,1,1.952701
-5.0,1,1.956452
-5.0,1,1.96366
-5.0,1,1.967175
-5.0,1,1.972954
-5.0,1,1.979125
-5.0,1,1.983184
-5.0,1,1.9903
-5.0,1,1.995438
-5.0,1,2.000565
-5.0,2,2.011912
-5.0,1,2.018549
-5.0,1,2.023805
-5.0,1,2.029469
-7.02,1,2.03736
-5.0,1,2.042882
-5.0,1,2.04882
-5.0,2,2.061438
-5.0,1,2.065639
-7.02,1,2.070866
-5.0,1,2.077938
-5.0,1,2.085433
-5.0,1,2.089296
-5.0,1,2.095807
-5.0,1,2.099856
