SKR_bits_per_second,SKR_bits_per_pulse,QBER
703493.2662944067,0.014069865325888135,0.031141868512110725
147600.03851102563,0.0029520007702205126,0.017592851158894165
180782.30537931895,0.0036156461075863787,0.014925373134328358
127579.95931056592,0.0025515991862113184,0.017278617710583154
132247.37337851018,0.002644947467570204,0.014453477868112014
104387.81265945703,0.0020877562531891407,0.02123076923076923
93523.77129736738,0.0018704754259473474,0.03680981595092025
0.0,0.0,0.01815962154738288
121187.07949409819,0.0024237415898819637,0.016666666666666666
7409145.920245338,0.14818291840490677,0.041932543299908843
127796.93860146825,0.002555938772029365,0.012204424103737605
