distance_km,mu_signal,seed,SKR_bits_per_second,SKR_bits_per_pulse,QBER
40,0.1,2025,0.0,0.0,0.05973025048169557
40,0.1,2026,0.0,0.0,0.04119850187265917
40,0.1,2027,0.0,0.0,0.038314176245210725
40,0.1,2028,0.0,0.0,0.03225806451612903
40,0.1,2029,0.0,0.0,0.03508771929824561
40,0.2,2025,172648.69763511262,0.0034529739527022524,0.04004329004329004
40,0.2,2026,246832.62472884005,0.004936652494576801,0.019813519813519812
40,0.2,2027,213508.93704951386,0.004270178740990277,0.03367003367003367
40,0.2,2028,89003.83104555744,0.0017800766209111487,0.02699896157840083
40,0.2,2029,108149.87923602575,0.002162997584720515,0.02833158447009444
40,0.3,2025,126458.73993037391,0.0025291747986074782,0.020378457059679767
40,0.3,2026,176512.66326713658,0.0035302532653427314,0.02107728337236534
40,0.3,2027,183568.05768941366,0.0036713611537882735,0.028413575374901343
40,0.3,2028,124167.76729600207,0.0024833553459200413,0.019216555801921657
40,0.3,2029,107806.86838950994,0.0021561373677901987,0.02318840579710145
40,0.4,2025,86763.9309772933,0.001735278619545866,0.021146355036171398
40,0.4,2026,242984.9498576025,0.00485969899715205,0.01868629671574179
40,0.4,2027,204019.90675827823,0.004080398135165564,0.018658892128279883
40,0.4,2028,124375.77758848573,0.0024875155517697146,0.020301624129930394
40,0.4,2029,191243.50603582218,0.0038248701207164435,0.019551466359977
40,0.5,2025,116666.4322008567,0.002333328644017134,0.021136683889149837
40,0.5,2026,275030.32313783944,0.005500606462756789,0.026240458015267174
40,0.5,2027,183560.78832021152,0.0036712157664042303,0.017131669114047968
40,0.5,2028,126313.1009744021,0.002526262019488042,0.021012416427889206
40,0.5,2029,152210.95209439262,0.0030442190418878525,0.017479300827966882
40,0.6,2025,135418.17135586587,0.0027083634271173173,0.016012810248198558
40,0.6,2026,227612.2528405137,0.004552245056810274,0.022480931352870333
40,0.6,2027,208844.12296241947,0.004176882459248389,0.013991769547325103
40,0.6,2028,234930.09208121634,0.004698601841624327,0.012703453751488685
