distance_km,mu_signal,seed,SKR_bits_per_second,SKR_bits_per_pulse,QBER
40,0.1,2025,0.0,0.0,0.029940119760479042
40,0.1,2026,0.0,0.0,0.030592734225621414
40,0.1,2027,0.0,0.0,0.0176678445229682
40,0.1,2028,0.0,0.0,0.030744336569579287
40,0.1,2029,0.0,0.0,0.022857142857142857
40,0.2,2025,107065.0912481419,0.002141301824962838,0.022549019607843137
40,0.2,2026,186544.36940477917,0.0037308873880955835,0.014534883720930232
40,0.2,2027,148956.69284073636,0.0029791338568147274,0.019762845849802372
40,0.2,2028,24392.892682085523,0.00048785785364171045,0.019837691614066726
40,0.2,2029,197400.45982121627,0.003948009196424325,0.018404907975460124
40,0.3,2025,142789.46591951704,0.0028557893183903406,0.012777404169468728
40,0.3,2026,191538.826354771,0.0038307765270954204,0.012482662968099861
40,0.3,2027,163585.01767060658,0.0032717003534121314,0.016382252559726963
40,0.3,2028,100147.34221263975,0.002002946844252795,0.017627118644067796
40,0.3,2029,98184.67100672226,0.0019636934201344453,0.017437961099932932
40,0.4,2025,147934.6031230264,0.002958692062460528,0.013100436681222707
40,0.4,2026,173146.0830041606,0.003462921660083212,0.011575239053850024
40,0.4,2027,186538.30964785945,0.003730766192957189,0.011698880976602238
40,0.4,2028,139565.72974843456,0.002791314594968691,0.01460221550855992
40,0.4,2029,142396.8129985098,0.0028479362599701957,0.016016016016016016
40,0.5,2025,86152.10088016086,0.001723042017603217,0.012560777957860616
40,0.5,2026,202231.77520284144,0.004044635504056829,0.014438943894389438
40,0.5,2027,138335.50117090507,0.0027667100234181016,0.016454134101192924
40,0.5,2028,158967.99923214535,0.003179359984642907,0.015561015561015561
40,0.5,2029,182977.26473730162,0.0036595452947460324,0.013664596273291925
40,0.6,2025,120613.40737283546,0.002412268147456709,0.015259409969481181
40,0.6,2026,219057.71557138537,0.004381154311427707,0.016587677725118485
40,0.6,2027,176069.90500640593,0.0035213981001281183,0.011659807956104253
40,0.6,2028,174234.98607238257,0.0034846997214476516,0.011687865245788931
40,0.6,2029,231145.68035142447,0.004622913607028489,0.013748191027496382
50,0.1,2025,0.0,0.0,0.03273809523809524
50,0.1,2026,0.0,0.0,0.03823529411764706
50,0.1,2027,0.0,0.0,0.0226628895184136
50,0.1,2028,0.0,0.0,0.03759398496240601
50,0.1,2029,0.0,0.0,0.028391167192429023
50,0.2,2025,50408.94683235568,0.0010081789366471136,0.028831562974203338
50,0.2,2026,98335.17275453861,0.001966703455090772,0.015337423312883436
50,0.2,2027,147059.07400484494,0.0029411814800968986,0.025236593059936908
50,0.2,2028,0.0,0.0,0.02364394993045897
50,0.2,2029,165131.45729734664,0.0033026291459469326,0.028391167192429023
50,0.3,2025,74288.05536121268,0.0014857611072242535,0.01288936627282492
50,0.3,2026,116547.54635495924,0.002330950927099185,0.015765765765765764
50,0.3,2027,135641.81270643868,0.0027128362541287737,0.02074235807860262
50,0.3,2028,25465.992197974494,0.0005093198439594899,0.022340425531914895
50,0.3,2029,70883.97546783282,0.0014176795093566563,0.026232948583420776
50,0.4,2025,106909.99086883849,0.00213819981737677,0.014774494556765163
