distance_km,mu_signal,seed,SKR_bits_per_second,SKR_bits_per_pulse,QBER
10,0.1,2025,0.0,0.0,0.006561679790026247
10,0.1,2026,0.0,0.0,0.008268259072117593
10,0.1,2027,0.0,0.0,0.014064697609001406
10,0.1,2028,0.0,0.0,0.006337709370755998
10,0.1,2029,0.0,0.0,0.011850501367365542
10,0.2,2025,312893.6990963121,0.006257873981926242,0.009066183136899365
10,0.2,2026,310334.25819136575,0.0062066851638273145,0.010258801585451154
10,0.2,2027,150930.0180986933,0.0030186003619738664,0.01050983899821109
10,0.2,2028,259870.01052639895,0.005197400210527979,0.00924000924000924
10,0.2,2029,476422.1145654966,0.009528442291309933,0.010008896797153026
10,0.3,2025,481939.6936855753,0.009638793873711506,0.011686143572621035
10,0.3,2026,390971.4367242038,0.007819428734484076,0.00927213722763097
10,0.3,2027,352928.9959782526,0.007058579919565052,0.009725223834516827
10,0.3,2028,437047.1809707672,0.008740943619415345,0.011512134411947728
10,0.3,2029,428776.2828905115,0.00857552565781023,0.0098159509202454
10,0.4,2025,539015.8652355963,0.010780317304711925,0.01044030866999546
10,0.4,2026,507496.9482367648,0.010149938964735296,0.009010049670786646
10,0.4,2027,456832.72800555243,0.009136654560111049,0.00972352389878163
10,0.4,2028,530004.612458314,0.01060009224916628,0.011594535644587303
10,0.4,2029,443298.6363884432,0.008865972727768864,0.011598237067965669
10,0.5,2025,674029.3665810152,0.013480587331620303,0.011479111780203237
10,0.5,2026,568251.2987059334,0.011365025974118668,0.008133156799697372
10,0.5,2027,513914.13003321836,0.010278282600664367,0.010208816705336427
10,0.5,2028,614433.8595043678,0.012288677190087355,0.011218245874281475
10,0.5,2029,643204.6861395699,0.012864093722791398,0.008653936600507948
10,0.6,2025,706821.3388931649,0.014136426777863297,0.011176240719030872
10,0.6,2026,748072.6962918201,0.014961453925836402,0.008198641368001873
10,0.6,2027,736748.270379265,0.014734965407585298,0.009712540142555025
10,0.6,2028,611503.7254420746,0.012230074508841492,0.010586881472957423
10,0.6,2029,621673.1966933146,0.012433463933866292,0.008851618914511996
20,0.1,2025,0.0,0.0,0.0068775790921595595
20,0.1,2026,0.0,0.0,0.008029197080291971
20,0.1,2027,0.0,0.0,0.0175054704595186
20,0.1,2028,0.0,0.0,0.009122807017543859
20,0.1,2029,0.0,0.0,0.008971704623878536
20,0.2,2025,183207.00408592157,0.0036641400817184313,0.009982174688057042
20,0.2,2026,210297.7810537776,0.004205955621075552,0.011066027296200664
20,0.2,2027,162410.7800860766,0.0032482156017215316,0.010168302945301542
20,0.2,2028,259236.1241509548,0.005184722483019096,0.00804093567251462
20,0.2,2029,378758.4667637336,0.007575169335274672,0.01053001053001053
20,0.3,2025,336119.2454140285,0.00672238490828057,0.013365735115431349
20,0.3,2026,241237.28318622013,0.004824745663724403,0.009675858732462506
20,0.3,2027,250678.0246085463,0.005013560492170926,0.010475030450669914
20,0.3,2028,306608.2940261158,0.006132165880522316,0.013447432762836185
20,0.3,2029,245996.10273722743,0.0049199220547445485,0.009230021860578091
20,0.4,2025,300024.7661084865,0.006000495322169731,0.011544011544011544
20,0.4,2026,259421.31764853842,0.005188426352970768,0.008754331570308225
20,0.4,2027,378210.5739022035,0.007564211478044071,0.009571139333701455
20,0.4,2028,283922.0343789209,0.0056784406875784186,0.010894802643329166
20,0.4,2029,295764.43012896465,0.005915288602579293,0.011079342387419585
20,0.5,2025,394313.35492578056,0.007886267098515611,0.011140428026971563
20,0.5,2026,296853.06042654434,0.0059370612085308866,0.009593023255813954
20,0.5,2027,299669.03537742427,0.0059933807075484855,0.010428907168037602
20,0.5,2028,344983.57758525986,0.006899671551705197,0.010217297452870916
20,0.5,2029,410957.50940299936,0.008219150188059987,0.010178117048346057
20,0.6,2025,461603.8714346456,0.009232077428692913,0.01209279368213228
20,0.6,2026,415634.13442429196,0.00831268268848584,0.008529304252467406
20,0.6,2027,395576.0244963685,0.00791152048992737,0.010622710622710623
20,0.6,2028,379910.7901470343,0.0075982158029406855,0.01037895244991552
20,0.6,2029,359493.218338502,0.0071898643667700395,0.009641200878691726
30,0.1,2025,0.0,0.0,0.00967741935483871
30,0.1,2026,0.0,0.0,0.0068415051311288486
30,0.1,2027,0.0,0.0,0.0170261066969353
30,0.1,2028,0.0,0.0,0.014332965821389196
30,0.1,2029,0.0,0.0,0.00949367088607595
30,0.2,2025,114193.62666494524,0.0022838725332989048,0.011771300448430493
30,0.2,2026,120245.56631543429,0.002404911326308686,0.012850467289719626
30,0.2,2027,57390.90890694321,0.0011478181781388642,0.010638297872340425
30,0.2,2028,192876.1910174995,0.0038575238203499905,0.009860788863109048
30,0.2,2029,294548.04666349816,0.005890960933269963,0.011148272017837236
30,0.3,2025,118873.91305087066,0.002377478261017413,0.011472275334608031
30,0.3,2026,91017.29489803396,0.0018203458979606792,0.01114955786236063
30,0.3,2027,218082.08349637917,0.004361641669927583,0.009765625
30,0.3,2028,176706.44128643104,0.003534128825728621,0.013026819923371647
30,0.3,2029,194833.2727116114,0.0038966654542322283,0.010176125244618396
30,0.4,2025,147452.2655187672,0.0029490453103753443,0.013333333333333334
30,0.4,2026,248452.25151828164,0.004969045030365633,0.007805724197745013
30,0.4,2027,276638.15100932145,0.0055327630201864285,0.008674842955429255
30,0.4,2028,135478.19692179046,0.002709563938435809,0.011631127111603435
30,0.4,2029,154233.65163519376,0.003084673032703875,0.012791358726549176
30,0.5,2025,238537.04254395227,0.004770740850879045,0.01245674740484429
30,0.5,2026,196413.65685897486,0.003928273137179497,0.010899182561307902
30,0.5,2027,288754.42758404155,0.0057750885516808315,0.01024297284421153
30,0.5,2028,159449.12460700763,0.0031889824921401528,0.009362460989745877
30,0.5,2029,222651.4373809876,0.004453028747619752,0.011983082706766917
30,0.6,2025,281192.22287461464,0.0056238444574922926,0.014100830596870775
30,0.6,2026,240206.29854570562,0.004804125970914112,0.008947268227679422
30,0.6,2027,314184.72979594656,0.006283694595918931,0.009955104430997463
30,0.6,2028,263708.9009526948,0.0052741780190538965,0.009402030838661151
30,0.6,2029,185480.08895386412,0.003709601779077282,0.009884052461509219
40,0.1,2025,0.0,0.0,0.010416666666666666
40,0.1,2026,0.0,0.0,0.008992805755395683
40,0.1,2027,0.0,0.0,0.01263537906137184
40,0.1,2028,0.0,0.0,0.015873015873015872
40,0.1,2029,0.0,0.0,0.008375209380234505
40,0.2,2025,145704.48957529027,0.0029140897915058053,0.012206572769953052
40,0.2,2026,0.0,0.0,0.013477088948787063
40,0.2,2027,69055.58174251765,0.001381111634850353,0.009009009009009009
40,0.2,2028,77868.42731386823,0.0015573685462773647,0.01358695652173913
40,0.2,2029,214272.5323876627,0.004285450647753254,0.010958904109589041
40,0.3,2025,80682.18622733705,0.001613643724546741,0.011022657685241886
40,0.3,2026,89374.28025736535,0.001787485605147307,0.013414634146341463
40,0.3,2027,171975.27723150904,0.003439505544630181,0.01097560975609756
40,0.3,2028,115476.66056955262,0.0023095332113910526,0.014952153110047847
40,0.3,2029,136310.08525269318,0.002726201705053864,0.011049723756906077
40,0.4,2025,64065.53272330611,0.0012813106544661223,0.01200533570475767
40,0.4,2026,143281.83740747476,0.002865636748149495,0.008144796380090498
40,0.4,2027,217510.1874803292,0.004350203749606584,0.009442870632672332
40,0.4,2028,57894.928534270795,0.001157898570685416,0.014150943396226415
40,0.4,2029,122633.55600942508,0.0024526711201885015,0.014798206278026907
40,0.5,2025,136675.7572912391,0.002733515145824782,0.010580080262677856
40,0.5,2026,112704.74302071068,0.0022540948604142137,0.00994671403197158
40,0.5,2027,144141.84702551024,0.002882836940510205,0.010849233071455293
40,0.5,2028,104495.39805653627,0.0020899079611307256,0.011327433628318584
40,0.5,2029,146341.25153019064,0.002926825030603813,0.014063656550703183
40,0.6,2025,125805.76389453931,0.002516115277890786,0.015001500150015001
40,0.6,2026,154221.2765099791,0.003084425530199582,0.009895052473763119
40,0.6,2027,194800.7655247803,0.003896015310495606,0.007946210268948655
40,0.6,2028,130980.69665742188,0.0026196139331484377,0.011343283582089553
40,0.6,2029,93084.79249022096,0.0018616958498044193,0.012420478642835504
50,0.1,2025,0.0,0.0,0.0056657223796034
50,0.1,2026,0.0,0.0,0.01098901098901099
50,0.1,2027,0.0,0.0,0.01652892561983471
50,0.1,2028,0.0,0.0,0.01876675603217158
50,0.1,2029,0.0,0.0,0.011494252873563218
50,0.2,2025,148907.80969984795,0.0029781561939969587,0.012012012012012012
50,0.2,2026,0.0,0.0,0.012949640287769784
50,0.2,2027,50618.60902541892,0.0010123721805083783,0.011188811188811189
50,0.2,2028,82267.93247379061,0.0016453586494758123,0.01488095238095238
50,0.2,2029,120170.0498049457,0.002403400996098914,0.008746355685131196
50,0.3,2025,91310.3890153702,0.0018262077803074038,0.01224105461393597
50,0.3,2026,13732.262196646077,0.00027464524393292156,0.012440191387559809
50,0.3,2027,70553.71933295697,0.0014110743866591394,0.0111731843575419
50,0.3,2028,22333.767765166554,0.0004466753553033311,0.0149812734082397
50,0.3,2029,91172.81409356838,0.0018234562818713676,0.012487992315081652
50,0.4,2025,37608.408619475806,0.0007521681723895161,0.009722222222222222
50,0.4,2026,70077.7866426848,0.0014015557328536962,0.010174418604651164
50,0.4,2027,133323.0553032665,0.00266646110606533,0.011102886750555145
50,0.4,2028,69032.88613522981,0.0013806577227045962,0.017041581458759374
50,0.4,2029,127219.20380231232,0.0025443840760462464,0.011494252873563218
50,0.5,2025,92080.47822935278,0.0018416095645870556,0.008695652173913044
50,0.5,2026,73484.1366554279,0.001469682733108558,0.012089810017271158
50,0.5,2027,98999.66069372563,0.0019799932138745125,0.012956419316843345
50,0.5,2028,48986.53860083538,0.0009797307720167076,0.013873473917869035
50,0.5,2029,107315.43219223827,0.0021463086438447652,0.011986301369863013
50,0.6,2025,62130.91890589357,0.0012426183781178715,0.014761904761904763
