distance_km,mu_signal,seed,SKR_bits_per_second,SKR_bits_per_pulse,QBER
40,0.1,2025,0.0,0.0,0.013831258644536652
40,0.1,2026,0.0,0.0,0.017948717948717947
40,0.1,2027,0.0,0.0,0.014341590612777053
40,0.1,2028,0.0,0.0,0.015209125475285171
40,0.1,2029,0.0,0.0,0.010126582278481013
40,0.2,2025,311571.83472882595,0.0062314366945765195,0.013547840812870448
40,0.2,2026,189353.321062346,0.0037870664212469197,0.010770505385252692
40,0.2,2027,361358.74564119335,0.007227174912823867,0.011101622544833475
40,0.2,2028,215998.4351312798,0.004319968702625596,0.014604150653343582
40,0.2,2029,225347.21189899865,0.004506944237979973,0.006688963210702341
40,0.3,2025,288035.80540571373,0.005760716108114274,0.011194029850746268
40,0.3,2026,312537.0999505113,0.006250741999010226,0.012389380530973451
40,0.3,2027,286563.76211159996,0.005731275242231999,0.010321797207043109
40,0.3,2028,283028.2179703759,0.005660564359407518,0.015789473684210527
40,0.3,2029,349395.6643971903,0.006987913287943807,0.007921998781230956
40,0.4,2025,363639.1937739295,0.00727278387547859,0.009767441860465116
40,0.4,2026,350646.2158451876,0.007012924316903752,0.011499540018399264
40,0.4,2027,358583.9470676478,0.007171678941352956,0.009161041465766635
40,0.4,2028,376503.9160295488,0.0075300783205909765,0.016151361329026302
40,0.4,2029,293315.61871872994,0.005866312374374599,0.011599806669888834
40,0.5,2025,375532.4378370655,0.00751064875674131,0.009378663540445486
40,0.5,2026,363734.3329349418,0.007274686658698837,0.014313346228239845
40,0.5,2027,400749.3587677107,0.008014987175354213,0.011480114801148012
40,0.5,2028,373534.7249627945,0.00747069449925589,0.013735215566577643
40,0.5,2029,323369.9195289153,0.006467398390578307,0.014158576051779935
40,0.6,2025,311887.2760678974,0.0062377455213579475,0.012149848126898413
40,0.6,2026,369630.86976541666,0.007392617395308333,0.014521452145214522
40,0.6,2027,452850.9259204672,0.009057018518409343,0.006668889629876626
40,0.6,2028,419450.01622548286,0.008389000324509658,0.01183821111476488
40,0.6,2029,339950.908849988,0.00679901817699976,0.011266643905769888
50,0.1,2025,0.0,0.0,0.014957264957264958
50,0.1,2026,0.0,0.0,0.023305084745762712
50,0.1,2027,0.0,0.0,0.012448132780082987
50,0.1,2028,0.0,0.0,0.018218623481781375
50,0.1,2029,0.0,0.0,0.010245901639344262
50,0.2,2025,270890.78449917963,0.005417815689983592,0.013280212483399735
