distance_km,mu_signal,seed,SKR_bits_per_second,SKR_bits_per_pulse,QBER
10,0.1,2025,0.0,0.0,0.009210526315789473
10,0.1,2026,0.0,0.0,0.00794351279788173
10,0.1,2027,0.0,0.0,0.011436413540713633
10,0.1,2028,0.0,0.0,0.009939498703543647
10,0.1,2029,0.0,0.0,0.008624407072013798
10,0.2,2025,329648.08697500586,0.006592961739500117,0.008813720819437827
10,0.2,2026,622146.2777809682,0.012442925555619365,0.010583254938852305
10,0.2,2027,468344.7512203704,0.009366895024407408,0.008728473696626562
10,0.2,2028,284746.44557824294,0.005694928911564859,0.009871441689623508
10,0.2,2029,479005.855709244,0.00958011711418488,0.008745684695051784
10,0.3,2025,589136.379849292,0.01178272759698584,0.008272351256761056
10,0.3,2026,600765.1751403142,0.012015303502806282,0.011757229107086114
10,0.3,2027,645505.3341427431,0.012910106682854862,0.009626183218353923
10,0.3,2028,454705.8328318879,0.009094116656637757,0.010675589547482474
10,0.3,2029,309621.43369307707,0.006192428673861541,0.010774837585168753
10,0.4,2025,716443.5178871667,0.014328870357743334,0.009557652248498959
10,0.4,2026,586701.8643167325,0.01173403728633465,0.01119221411192214
10,0.4,2027,693801.654574077,0.01387603309148154,0.009549461312438785
10,0.4,2028,617066.418927124,0.01234132837854248,0.009664790800097871
10,0.4,2029,532726.5005494538,0.010654530010989075,0.010266438523588365
10,0.5,2025,827342.8688716247,0.016546857377432493,0.010170154508116565
10,0.5,2026,602799.708502728,0.012055994170054561,0.011332816737698566
10,0.5,2027,744023.689030578,0.01488047378061156,0.009907926341072858
10,0.5,2028,699356.6932633914,0.013987133865267827,0.010189228529839884
10,0.5,2029,656607.1727656119,0.013132143455312238,0.010151783954267692
10,0.6,2025,804195.9157975301,0.0160839183159506,0.011048812664907651
10,0.6,2026,732310.6973679581,0.014646213947359163,0.010189228529839884
10,0.6,2027,812165.1056533057,0.016243302113066113,0.010116668026433875
10,0.6,2028,698310.212202778,0.01396620424405556,0.010035663929667413
10,0.6,2029,739062.6036991652,0.014781252073983304,0.011749131226212146
20,0.1,2025,0.0,0.0,0.009078212290502794
20,0.1,2026,0.0,0.0,0.007122507122507123
20,0.1,2027,0.0,0.0,0.01276595744680851
20,0.1,2028,0.0,0.0,0.00819672131147541
20,0.1,2029,0.0,0.0,0.01012829169480081
20,0.2,2025,151189.47789570337,0.003023789557914067,0.008133086876155268
20,0.2,2026,328380.3642320898,0.006567607284641795,0.009966777408637873
20,0.2,2027,350499.505607684,0.00700999011215368,0.010112359550561797
20,0.2,2028,78670.59747106482,0.0015734119494212962,0.009520322226290736
20,0.2,2029,254412.0600261384,0.005088241200522768,0.011083303539506614
20,0.3,2025,384411.4417907049,0.0076882288358140986,0.007822048398924468
20,0.3,2026,355077.09497319005,0.0071015418994638015,0.01053159478435306
20,0.3,2027,494692.1697684602,0.009893843395369204,0.010520913523222993
20,0.3,2028,205623.58525756578,0.004112471705151315,0.012219959266802444
20,0.3,2029,239750.69843252405,0.004795013968650481,0.011250319611352595
20,0.4,2025,434089.1105693182,0.008681782211386364,0.008702378650164379
20,0.4,2026,379937.4214846002,0.007598748429692005,0.010356731875719217
20,0.4,2027,597315.6002880104,0.011946312005760209,0.009819324430479183
20,0.4,2028,320273.64628835587,0.006405472925767117,0.009882174078297225
20,0.4,2029,276678.8136645208,0.005533576273290416,0.00859106529209622
20,0.5,2025,575182.2944185828,0.011503645888371657,0.010342698363692497
20,0.5,2026,361166.7533335378,0.007223335066670756,0.010848274822962183
20,0.5,2027,562326.5814521593,0.011246531629043186,0.00995798973082309
20,0.5,2028,378225.0489849574,0.007564500979699148,0.009983361064891847
20,0.5,2029,407165.6457226241,0.008143312914452482,0.012603080753072973
20,0.6,2025,556302.4732290689,0.01112604946458138,0.010117617301125585
20,0.6,2026,474114.5466919382,0.009482290933838764,0.009511568123393316
20,0.6,2027,633230.0944340912,0.012664601888681825,0.00993163936540694
20,0.6,2028,489798.4782409642,0.009795969564819283,0.007712082262210797
20,0.6,2029,384463.5338682371,0.007689270677364742,0.013343697370125664
30,0.1,2025,0.0,0.0,0.008676789587852495
30,0.1,2026,0.0,0.0,0.0066815144766146995
30,0.1,2027,0.0,0.0,0.01264367816091954
30,0.1,2028,0.0,0.0,0.009857612267250822
30,0.1,2029,0.0,0.0,0.012806830309498399
30,0.2,2025,70918.39407297927,0.0014183678814595855,0.009994121105232217
30,0.2,2026,176086.44361542733,0.0035217288723085466,0.01072066706372841
30,0.2,2027,257095.2403232663,0.005141904806465326,0.0072507552870090634
30,0.2,2028,6052.636997417012,0.00012105273994834024,0.011267605633802818
30,0.2,2029,150881.89227070787,0.0030176378454141576,0.013112884834663626
30,0.3,2025,182423.53578798918,0.0036484707157597835,0.008174386920980926
30,0.3,2026,259845.56012174318,0.005196911202434863,0.011526232114467409
30,0.3,2027,262837.69348345354,0.0052567538696690706,0.0097442143727162
30,0.3,2028,172020.78291897243,0.0034404156583794487,0.010036130068245684
30,0.3,2029,138473.3946311006,0.0027694678926220117,0.014456836018174308
30,0.4,2025,260440.931859978,0.00520881863719956,0.0070987654320987656
30,0.4,2026,292903.6407012775,0.005858072814025549,0.009497549019607842
30,0.4,2027,366370.8926832733,0.007327417853665466,0.008338480543545398
30,0.4,2028,299935.01661597216,0.005998700332319443,0.008895705521472393
30,0.4,2029,133829.1073206346,0.0026765821464126917,0.010660349422564407
30,0.5,2025,321345.80622240814,0.006426916124448162,0.010674429888403688
30,0.5,2026,268368.20016328146,0.005367364003265629,0.012401621750536608
30,0.5,2027,324559.1830603194,0.006491183661206388,0.00993217054263566
30,0.5,2028,202722.40167709754,0.004054448033541951,0.009051929490233444
30,0.5,2029,249201.89587053724,0.004984037917410745,0.011208576998050682
30,0.6,2025,403914.62635444326,0.008078292527088865,0.01053911633563032
30,0.6,2026,301692.98319368094,0.006033859663873619,0.008585445625511038
30,0.6,2027,381476.35663795884,0.0076295271327591774,0.009749303621169917
30,0.6,2028,317828.65980760066,0.006356573196152014,0.008608608608608608
30,0.6,2029,241986.56404492664,0.004839731280898533,0.011750154607297465
40,0.1,2025,0.0,0.0,0.008880994671403197
40,0.1,2026,0.0,0.0,0.012237762237762238
40,0.1,2027,0.0,0.0,0.010676156583629894
40,0.1,2028,0.0,0.0,0.01
40,0.1,2029,0.0,0.0,0.010273972602739725
40,0.2,2025,57294.97008625296,0.0011458994017250592,0.013133208255159476
40,0.2,2026,71527.33063038038,0.0014305466126076076,0.012987012987012988
40,0.2,2027,97534.19310681168,0.0019506838621362336,0.010526315789473684
40,0.2,2028,0.0,0.0,0.012003693444136657
40,0.2,2029,102994.94690891211,0.0020598989381782422,0.012950971322849213
40,0.3,2025,102403.78796949708,0.0020480757593899414,0.009079903147699757
40,0.3,2026,185071.51333558993,0.0037014302667117984,0.010828025477707006
40,0.3,2027,187273.2057036525,0.00374546411407305,0.012125079770261647
40,0.3,2028,18074.9461063327,0.000361498922126654,0.012140575079872205
40,0.3,2029,128848.4448618226,0.002576968897236452,0.016479894528675015
40,0.4,2025,122951.61457197988,0.0024590322914395976,0.007112375533428165
40,0.4,2026,145332.3019950726,0.002906646039901452,0.00674373795761079
40,0.4,2027,197271.32241085035,0.003945426448217007,0.010214007782101167
40,0.4,2028,153742.57077415584,0.0030748514154831166,0.008118433619866285
40,0.4,2029,108418.19153180599,0.0021683638306361198,0.009220839096357769
40,0.5,2025,212526.93792257097,0.00425053875845142,0.01169811320754717
40,0.5,2026,153060.98782874976,0.0030612197565749954,0.010138941043935411
40,0.5,2027,220134.1315095546,0.004402682630191092,0.01023502653525398
40,0.5,2028,132523.10468534124,0.0026504620937068245,0.009863429438543247
40,0.5,2029,170608.06016566613,0.0034121612033133227,0.009320388349514564
40,0.6,2025,255920.0419396895,0.00511840083879379,0.01077996195307546
40,0.6,2026,168454.10078984115,0.003369082015796823,0.007946598855689765
40,0.6,2027,247581.8847068709,0.004951637694137418,0.007888923950773114
40,0.6,2028,148009.32117124854,0.0029601864234249705,0.009751494180559924
40,0.6,2029,197995.6846180201,0.003959913692360402,0.009318766066838046
50,0.1,2025,0.0,0.0,0.014619883040935672
50,0.1,2026,0.0,0.0,0.013550135501355014
50,0.1,2027,0.0,0.0,0.011363636363636364
50,0.1,2028,0.0,0.0,0.010723860589812333
50,0.1,2029,0.0,0.0,0.011204481792717087
