#{"t_start": 1763362893.3227413, "env_id": "None"}
r,l,t
-5.0,1,0.899333
-5.0,1,0.904324
-5.0,1,0.911481
-5.0,1,0.916141
-5.0,1,0.921941
-5.0,1,0.928602
-5.0,1,0.933776
-5.0,1,0.938475
-5.0,1,0.943398
-7.02,1,0.949203
-5.0,1,0.95395
-5.0,1,0.959081
-5.0,1,0.963688
-5.0,1,0.970368
-5.0,1,0.97504
-5.0,1,0.980885
-5.0,1,0.986818
-5.0,1,0.992475
-5.0,1,0.999541
-5.0,1,1.006145
-5.0,2,1.017779
-5.0,1,1.023082
-5.0,1,1.028496
-5.0,2,1.039777
-5.0,2,1.051156
-5.0,1,1.055899
-5.0,1,1.062367
-5.0,1,1.068796
-5.0,1,1.07523
-5.0,1,1.08071
-5.0,1,1.085479
-5.0,1,1.090677
-5.0,1,1.096836
-5.0,1,1.102131
-5.0,1,1.106713
-5.0,1,1.113014
-5.0,1,1.118335
-2.02,1,1.124446
-5.0,1,1.130579
-5.0,1,1.13527
-5.0,1,1.138682
-5.0,2,1.151008
-5.0,1,1.158242
-5.0,1,1.163167
-5.0,1,1.169493
-5.0,1,1.173275
-5.0,3,1.190208
-5.0,3,1.205789
-5.0,1,1.211847
-5.0,1,1.217355
-5.0,1,1.220568
-5.0,1,1.228048
-5.0,1,1.233457
-5.0,1,1.23837
-5.0,1,1.243556
-5.0,2,1.255812
-5.0,1,1.262589
-5.0,1,1.266577
-5.0,1,1.271418
-5.0,1,1.278765
-5.0,2,1.289316
-5.0,1,1.292299
-5.0,1,1.298641
-5.0,1,1.306202
-5.0,1,1.310572
-5.0,1,1.317623
-5.0,1,1.322611
-5.0,2,1.33571
-5.0,2,1.345698
-5.0,2,1.360836
-5.0,1,1.367105
-5.0,2,1.376384
-5.0,1,1.384193
-5.0,1,1.387113
-5.0,1,1.394396
-5.0,1,1.400281
-5.0,1,1.403788
-5.0,1,1.409739
-5.0,1,1.415666
-5.0,1,1.421859
-5.0,1,1.425973
-5.0,1,1.430796
-5.0,1,1.43602
-5.0,1,1.442639
-5.0,1,1.449003
-5.0,1,1.453456
-5.0,1,1.460616
-5.0,1,1.466861
-5.0,2,1.476237
-5.0,1,1.483032
